rate_center,center_name,schedule,category,unit_of_rate,source,fy_first,fy_last,total_revenue_all_years,inpatient_revenue_share,in_published_panel
ADD,Adolescent Neuropsychiatry - Dual Diagnosed,A26,Daily service,Patient days,CCD;SUB,2017.0,2026.0,83353409.0,1.0,True
ADM,Admission Services,C28,Ancillary,Patients,CCD;SUB,2017.0,2026.0,1598002790.28,1.0,True
AMR,Ambulance Services Rebundled,C26,Ancillary,HSCRC RVUs,CCD;SUB;S500,2017.0,2026.0,18575190.03,0.9185,True
ANS,Anesthesiology,C4,Ancillary,Minutes,CCD;SUB;S500,2017.0,2026.0,2112272052.45,0.5526,True
AUD,Audiology,C23,Ancillary,Maryland RVUs,CCD;SUB;S500,2017.0,2026.0,34458619.89,0.2242,True
BUR,Burn Care,A10,Daily service,Patient days,CCD;SUB;S500,2017.0,2026.0,100365258.58,1.0,True
CAT,CAT Scanner,C11,Ancillary,HSCRC RVUs,CCD;SUB;S500,2017.0,2026.0,2598944058.26,0.3874,True
CCU,Coronary Care,A7,Daily service,Patient days,CCD;SUB;S500,2017.0,2026.0,214803868.68,1.0,True
CDS,Drugs,C31,Ancillary,EIPA,CCD;SUB;S500,2017.0,2026.0,20310126408.7,0.4275,True
CDS-340,Drugs - 340B,,Ancillary,EIPA,derived from SUB 340B convention,2017.0,2026.0,197444024.3,0.0,True
CL,Clinic Services,B2,Ambulatory,RVUs,CCD;SUB;S500,2017.0,2026.0,5357753919.34,0.0211,True
CL-340,Clinic Services - 340B,,Ambulatory,RVUs,derived from SUB 340B convention,2017.0,2026.0,71424345.39,0.0001,True
CL-H49,Clinic Services - UM Upper Chesapeake (CCN 210049) 340B,,Ambulatory,RVUs,derived from SUB,2018.0,2026.0,89985715.28,0.0001,True
CL-H63,Clinic Services - UM St. Joseph (CCN 210063) 340B,,Ambulatory,RVUs,derived from SUB,2018.0,2026.0,68718531.81,0.0002,True
CRH,Chronic Care,A18,Daily service,Patient days,CCD;SUB;S500,2017.0,2026.0,545076199.41,1.0,True
DEF,Definitive Observation,A5,Daily service,Patient days,CCD;SUB,2017.0,2026.0,1492821745.56,1.0,True
DEL,Labor and Delivery Services,C2,Ancillary,Maryland RVUs,CCD;SUB;S500,2017.0,2026.0,4775137123.39,0.7694,True
EEG,Electroencephalography,C7,Ancillary,1974 California RVU,CCD;SUB;S500,2017.0,2026.0,1019089569.57,0.4526,True
EK2,UNCONFIRMED,,,,not found in any HSCRC source document,2017.0,2026.0,4077390.38,0.2005,True
EKG,Electrocardiography,C6,Ancillary,1974 California RVU,CCD;SUB;S500,2017.0,2026.0,1188958350.0,0.5288,True
EM2,UNCONFIRMED,,,,appears in FY2019 rate files but undefined in any source,2017.0,2026.0,26881999.86,0.0306,True
EMG,Emergency Services,B1,Ambulatory,RVUs,CCD;SUB;S500,2017.0,2026.0,12835938034.31,0.2148,True
ETH,Electroconvulsive Therapy,C42,Ancillary,Treatments,CCD;SUB;S500,2017.0,2026.0,17541616.0,0.3526,True
FSE,Free Standing Emergency Services,B7,Ambulatory,Visits,CCD;SUB;S500,2017.0,2023.0,154524560.56,,True
GTH,Group Therapies,C35,Ancillary,Hours,CCD;SUB;S500,2017.0,2024.0,4966719.0,0.5878,True
HYP,Hyperbaric Chamber,C22,Ancillary,Hours of treatment,CCD;SUB;S500,2017.0,2026.0,185280931.87,0.1567,True
IRC,Interventional Radiology/Cardiology,C90,Ancillary,Maryland RVUs or minutes,CCD;SUB;S500,2017.0,2026.0,4569239687.71,0.4433,True
